tanaman,ketinggian,hujan,temperatur
cabai,1211,1318,20
stroberi,1231,674,17
jambu air,311,1380,27
stroberi,1489,614,20
bayam,1742,1828,25
kentang,2814,2976,15
cabai,49,1605,25
stroberi,1048,629,17
bayam,1412,1324,25
bayam,1432,1743,25
bayam,872,1244,25
cabai,22,1644,22
cabai,936,1846,23
cabai,558,1090,22
cabai,1243,1370,20
kentang,1404,2604,14
cabai,812,1270,23
jambu air,18,1844,19
jambu air,327,504,20
stroberi,1264,683,18
bayam,802,1846,25
stroberi,1449,644,17
bayam,1147,1821,22
jambu air,357,607,27
cabai,1044,1257,30
kentang,2949,2430,20
stroberi,1369,636,17
cabai,151,1830,18
jambu air,141,2175,26
cabai,898,1675,26
jambu air,498,825,26
stroberi,1498,638,19
cabai,538,1611,27
cabai,355,962,30
cabai,926,1608,22
kentang,1346,2691,17
stroberi,1399,674,20
kentang,2409,2497,24
cabai,836,1365,26
cabai,404,1437,29
bayam,633,1671,23
stroberi,1430,643,18
bayam,645,1460,25
bayam,1923,1614,28
bayam,1259,1258,30
stroberi,1437,602,20
bayam,1458,1835,28
jambu air,34,1393,10
cabai,682,808,22
bayam,1327,1403,23
jambu air,445,1058,28
kentang,717,2868,18
kentang,1508,2830,15
stroberi,1118,627,18
bayam,1646,1976,24
stroberi,1176,692,18
kentang,2047,3010,19
cabai,1005,1896,22
kentang,2261,3250,16
jambu air,250,1260,13
cabai,585,1491,28
kentang,2323,3506,15
cabai,1272,1774,19
bayam,1177,1165,24
jambu air,184,1888,19
jambu air,107,2541,24
bayam,1862,1146,30
bayam,1876,1444,29
cabai,1181,862,20
stroberi,1460,626,17
jambu air,406,2511,11
jambu air,318,2963,19
kentang,524,2465,22
cabai,494,1441,30
cabai,715,1514,29
jambu air,31,1584,25
stroberi,1027,686,20
jambu air,136,2111,11
kentang,2824,2925,13
jambu air,60,2400,21
jambu air,33,2615,11
jambu air,64,2752,15
jambu air,315,2372,24
cabai,1243,1376,26
bayam,1496,1637,25
cabai,977,851,28
jambu air,411,2985,25
jambu air,265,1489,19
cabai,1052,1885,21
bayam,1542,1202,25
stroberi,1101,640,17
jambu air,284,1287,12
jambu air,252,949,12
kentang,2857,3258,15
cabai,347,1227,27
kentang,914,2444,24
cabai,1335,1313,18
jambu air,481,2098,13
bayam,1319,1433,29
bayam,1601,1573,21
bayam,840,1030,23
cabai,123,1056,22
kentang,1329,3191,18
stroberi,1167,687,19
kentang,1915,3503,23
bayam,636,1440,23
bayam,286,1157,25
kentang,2975,2700,23
cabai,820,968,25
kentang,2643,3375,24
jambu air,20,2210,26
jambu air,355,2697,17
bayam,128,1217,22
jambu air,60,661,26
stroberi,1072,612,18
bayam,539,1173,28
stroberi,1451,692,20
jambu air,466,1616,21
stroberi,1105,670,20
kentang,2647,3177,24
jambu air,141,531,15
jambu air,110,2041,16
kentang,2025,3427,24
jambu air,117,1889,23
kentang,467,2943,14
cabai,984,1882,18
jambu air,37,1789,18
bayam,1857,1087,25
stroberi,1291,683,17
kentang,847,2893,19
kentang,1070,2441,23
stroberi,1457,662,20
jambu air,350,2630,22
bayam,837,1294,24
cabai,323,1771,20
kentang,2276,3018,15
bayam,1314,1469,21
cabai,1145,1952,19
jambu air,182,2125,24
stroberi,1429,625,18
kentang,1861,3570,14
kentang,1682,2805,21
kentang,1390,2813,21
jambu air,152,2098,19
stroberi,1181,626,18
bayam,1604,1816,26
stroberi,1498,607,19
jambu air,217,2140,25
stroberi,1350,640,20
stroberi,1304,698,18
cabai,208,1681,22
jambu air,176,1062,24
jambu air,265,2194,28
cabai,1202,1671,27
bayam,855,1417,24
kentang,642,3539,21
cabai,943,1443,23
bayam,1597,1678,22
cabai,108,1984,30
jambu air,425,1873,19
cabai,857,1277,18
