tanaman,ketinggian,hujan,temperatur
cabai,610,1815,25
kentang,907,2587,24
stroberi,1253,620,19
bayam,260,1384,23
jambu air,166,1431,25
cabai,800,1441,27
kentang,1781,3048,17
kentang,2133,2746,17
cabai,934,1999,24
jambu air,193,2180,11
cabai,197,1482,23
kentang,603,3412,14
kentang,2047,3089,22
kentang,461,2656,14
stroberi,1429,606,19
cabai,1183,1275,22
cabai,1328,1944,22
bayam,765,1816,27
cabai,220,1230,18
kentang,2616,2781,20
jambu air,152,644,23
jambu air,500,1694,24
kentang,2429,3041,14
cabai,733,1938,22
kentang,2731,2681,17
cabai,539,909,25
kentang,2239,3317,24
stroberi,1338,648,19
kentang,1361,3431,18
kentang,1673,3505,17
cabai,923,1603,18
stroberi,1330,655,17
bayam,128,1249,23
stroberi,1280,675,19
kentang,2714,3072,15
bayam,918,1562,23
bayam,1573,1756,27
jambu air,143,2967,26
kentang,1089,2672,15
kentang,2161,2974,18
jambu air,54,993,22
stroberi,1308,643,20
cabai,447,835,30
kentang,2856,2934,13
bayam,286,1547,25
kentang,553,3570,21
stroberi,1403,670,17
jambu air,81,915,14
kentang,828,2743,19
stroberi,1167,681,18
stroberi,1295,621,19
jambu air,19,2013,23
bayam,1280,1724,22
cabai,1187,841,29
bayam,1595,1537,28
jambu air,471,1613,23
jambu air,373,2607,14
bayam,221,1678,20
jambu air,211,2651,18
cabai,1208,1740,24
cabai,1175,1616,29
kentang,2732,2817,16
stroberi,1122,640,17
cabai,1151,1076,19
stroberi,1369,658,18
kentang,1349,3465,23
bayam,119,1719,30
kentang,1134,2761,22
kentang,2257,3106,21
stroberi,1165,669,18
cabai,701,1182,25
stroberi,1386,695,18
stroberi,1454,639,17
jambu air,313,920,11
kentang,2095,2423,20
jambu air,462,1610,21
kentang,920,2459,14
cabai,493,1258,18
bayam,756,1680,28
cabai,1005,1956,24
stroberi,1073,608,19
bayam,330,1227,20
jambu air,386,2570,13
stroberi,1434,648,20
stroberi,1148,697,19
bayam,1697,1948,27
stroberi,1360,684,18
cabai,797,1527,26
bayam,895,1510,26
jambu air,395,1480,12
kentang,1760,3565,19
jambu air,421,2584,14
jambu air,308,1038,26
bayam,684,1524,30
bayam,1068,1471,30
kentang,1946,3073,13
bayam,745,1164,20
cabai,350,882,30
kentang,1070,3033,17
bayam,1092,1336,28
kentang,2518,3226,23
kentang,853,3245,20
cabai,1161,1524,23
bayam,137,1262,28
stroberi,1454,609,19
jambu air,211,1828,17
stroberi,1464,633,19
kentang,1953,2843,23
bayam,1942,1362,29
jambu air,287,2019,26
cabai,923,1946,22
jambu air,115,582,24
stroberi,1174,605,19
stroberi,1167,606,20
jambu air,389,1109,11
bayam,708,1485,30
cabai,1134,1171,29
stroberi,1152,691,17
jambu air,468,1427,18
jambu air,55,629,27
bayam,16,1641,30
jambu air,346,1022,22
cabai,1238,891,18
kentang,726,2855,24
stroberi,1053,696,17
jambu air,371,1126,24
cabai,1379,1747,19
kentang,1997,2602,16
cabai,97,1860,24
stroberi,1053,606,17
bayam,1257,1602,27
jambu air,360,2049,25
jambu air,476,2144,25
kentang,983,3318,17
cabai,925,1781,19
jambu air,116,2072,20
jambu air,478,1341,28
cabai,1130,1113,26
stroberi,1099,666,20
bayam,1429,1651,30
kentang,2542,2765,15
bayam,712,1458,27
bayam,1481,1843,21
kentang,2804,2794,19
cabai,622,1682,24
cabai,80,1774,18
bayam,960,1409,23
stroberi,1236,629,17
kentang,861,2989,14
cabai,427,1036,18
stroberi,1305,602,19
cabai,1127,1061,20
stroberi,1469,633,17
bayam,1834,1061,25
stroberi,1369,644,17
cabai,496,1388,24
bayam,1484,1758,26
jambu air,370,1162,21
cabai,159,1240,27
cabai,411,1547,28
kentang,2753,2661,19
jambu air,168,2697,20
stroberi,1349,637,17
bayam,660,1740,20
stroberi,1487,600,18
kentang,1599,2589,16
cabai,1248,862,20
kentang,2027,3236,13
cabai,322,1829,27
stroberi,1430,630,18
stroberi,1024,681,19
stroberi,1096,641,19
bayam,944,1982,25
kentang,2441,3233,19
bayam,1656,1266,29
bayam,835,1327,30
stroberi,1186,687,17
kentang,1076,3287,13
kentang,2429,3201,13
cabai,303,1773,28
kentang,2390,2921,19
stroberi,1489,624,19
cabai,433,910,21
kentang,2785,2870,17
stroberi,1422,645,18
kentang,2046,2996,17
bayam,1788,1971,23
cabai,326,1955,21
jambu air,184,1426,22
jambu air,108,2415,19
cabai,620,876,24
stroberi,1265,668,19
cabai,656,1721,23
kentang,1919,2497,24
jambu air,10,1002,15
bayam,1331,1316,23
kentang,2330,3026,18
jambu air,439,2757,20
bayam,47,1923,21
cabai,804,1983,22
stroberi,1204,639,19
bayam,668,1121,22
cabai,791,819,29
jambu air,201,726,17
kentang,2230,3365,14
kentang,2702,2709,22
jambu air,5,577,22
jambu air,405,2627,15
stroberi,1346,671,18
stroberi,1048,662,20
kentang,2462,2518,16
bayam,607,1561,26
jambu air,225,1161,12
cabai,1396,1656,30
cabai,1301,1805,24
cabai,267,1612,24
stroberi,1237,692,20
cabai,574,909,25
jambu air,282,2396,22
kentang,964,2756,23
bayam,96,1656,27
kentang,2860,2630,17
bayam,1883,1736,24
jambu air,490,2820,20
jambu air,51,1667,22
cabai,1009,1405,30
jambu air,324,2523,27
bayam,258,1219,21
kentang,2434,3046,14
kentang,2754,3028,14
bayam,657,1441,24
stroberi,1473,693,20
bayam,961,1813,23
kentang,609,3533,19
jambu air,22,696,25
bayam,1119,1739,26
jambu air,462,2489,11
cabai,191,1645,18
stroberi,1095,655,18
jambu air,266,1429,15
kentang,1425,2956,18
bayam,659,1096,29
jambu air,62,632,24
jambu air,158,1351,22
stroberi,1155,622,17
bayam,1344,1299,27
kentang,1498,3163,14
stroberi,1227,619,20
stroberi,1289,683,19
kentang,2071,2999,23
bayam,444,1858,20
kentang,1792,2661,18
stroberi,1126,637,18
cabai,1017,1250,24
bayam,569,1355,22
bayam,399,1213,29
jambu air,317,1025,14
jambu air,170,2743,20
stroberi,1251,667,17
bayam,64,1546,25
cabai,152,984,29
kentang,1241,3272,18
kentang,2543,2461,24
stroberi,1432,601,19
cabai,907,1987,27
stroberi,1045,664,18
jambu air,467,2097,26
stroberi,1003,625,20
cabai,295,1693,21
cabai,1309,1568,28
bayam,1406,1906,23
kentang,2036,3544,19
kentang,2911,2846,22
cabai,1116,1193,23
stroberi,1099,685,19
stroberi,1488,683,19
jambu air,52,1108,18
bayam,1267,1877,20
stroberi,1364,696,18
jambu air,54,1969,18
stroberi,1068,628,18
stroberi,1127,687,19
bayam,1159,1199,28
cabai,492,1606,21
stroberi,1265,636,18
jambu air,39,1044,11
bayam,1304,1280,25
kentang,870,2458,24
stroberi,1477,674,18
kentang,2568,2556,23
bayam,921,1070,29
bayam,1356,1854,30
cabai,752,1802,24
cabai,985,1408,29
stroberi,1484,651,18
stroberi,1362,684,18
bayam,1530,1129,25
kentang,982,3428,16
cabai,995,1860,30
bayam,743,1701,27
stroberi,1345,609,19
jambu air,321,1026,28
jambu air,386,2359,22
jambu air,112,936,14
kentang,2224,2861,19
jambu air,149,2436,13
cabai,311,998,28
bayam,544,1652,25
kentang,2774,3315,20
cabai,1290,868,23
bayam,240,1806,26
bayam,1411,1989,30
bayam,117,1461,28
jambu air,442,1632,14
cabai,103,1535,23
kentang,2040,2685,20
bayam,478,1645,30
kentang,439,3556,15
bayam,1627,1286,29
kentang,385,3502,13
cabai,1254,1412,27
bayam,891,1434,23
jambu air,492,759,19
cabai,982,1714,26
kentang,1410,3287,21
jambu air,271,1634,26
jambu air,242,2602,12
cabai,1341,803,23
bayam,1799,1121,23
jambu air,280,1061,21
cabai,142,1830,23
stroberi,1265,618,20
kentang,1825,3287,19
bayam,1193,1147,22
kentang,1008,3246,18
cabai,395,1653,28
bayam,1856,1252,28
stroberi,1485,691,19
cabai,896,1013,25
jambu air,175,764,27
jambu air,425,1803,19
stroberi,1245,697,18
jambu air,300,1498,17
jambu air,297,2210,16
jambu air,262,1236,21
cabai,592,1386,24
